Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec	xylenScalar
2019057	22.5	NA	NA	NA	0	NA	NA	NA	72.4	508.552	NA	NaN	NaN	-10	0	-999	-999	1
2019057	23	NA	NA	NA	0	NA	NA	NA	72.4	508.475	NA	NaN	NaN	-10	0	-999	-999	1
2019057	23.5	NA	NA	NA	0	NA	NA	NA	72.4	509.4597	NA	NaN	NaN	-10	0	-999	-999	1
2019058	0	NA	NA	NA	0	NA	NA	NA	72.4	509.2773	NA	NaN	NaN	-10	0	-999	-999	1
2019058	0.5	NA	NA	NA	0	NA	NA	NA	72.4	508.8388	NA	NaN	NaN	-10	0	-999	-999	1
2019058	1	NA	NA	NA	0	NA	NA	NA	72.4	509.7559	NA	NaN	NaN	-10	0	-999	-999	1
2019058	1.5	NA	NA	NA	0	NA	NA	NA	72.4	510.0008	NA	NaN	NaN	-10	0	-999	-999	1
2019058	2	NA	NA	NA	0	NA	NA	NA	72.4	510.991	NA	NaN	NaN	-10	0	-999	-999	1
2019058	2.5	NA	NA	NA	0	NA	NA	NA	72.4	511.1236	NA	NaN	NaN	-10	0	-999	-999	1
2019058	3	NA	NA	NA	0	NA	NA	NA	72.4	511.1486	NA	NaN	NaN	-10	0	-999	-999	1
2019058	3.5	NA	NA	NA	0	NA	NA	NA	72.4	511.2343	NA	NaN	NaN	-10	0	-999	-999	1
2019058	4	NA	NA	NA	0	NA	NA	NA	72.4	511.4009	NA	NaN	NaN	-10	0	-999	-999	1
2019058	4.5	NA	NA	NA	0	NA	NA	NA	72.4	511.3586	NA	NaN	NaN	-10	0	-999	-999	1
2019058	5	NA	NA	NA	0	NA	NA	NA	72.4	510.4807	NA	NaN	NaN	-10	0	-999	-999	1
